id_anssi,type_bulletin,titre,date_publication,lien,nb_cve,cve_id,annee,cvss_score,cvss_severity,cvss_version,cwe_id,cwe_desc,description,vendor,product,versions,epss_score,epss_percentile,source,criticite,risque_combine
CERTFR-2023-ALE-009,Alerte,[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,2023-07-26,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,3,CVE-2023-35078,2023,10.0,CRITICAL,cvssV3_0,,,An authentication bypass vulnerability in Ivanti EPMM allows unauthorized users to access restricted functionality or resources of the application without proper authentication.,Ivanti,Endpoint Manager Mobile,,0.94482,0.99998,zip,Critique,9.4482
CERTFR-2023-AVI-0793,Avis,Multiples vulnérabilités dans Progress WS_FTP Server,2023-09-29,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0793/,8,CVE-2023-40044,2023,10.0,CRITICAL,cvssV3_1,CWE-502,CWE-502 Deserialization of Untrusted Data,"In WS_FTP Server versions prior to 8.7.4 and 8.8.2, a pre-authenticated attacker could leverage a .NET deserialization vulnerability in the Ad Hoc Transfer module to execute remote commands on the underlying WS_FTP Server operating system.",Progress Software Corporation,WS_FTP Server,"8.8.0, 8.7.0",0.94449,0.99991,zip,Critique,9.4449
CERTFR-2023-AVI-0919,Avis,Vulnérabilité dans les produits SolarWinds,2023-11-08,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0919/,1,CVE-2023-46604,2023,10.0,CRITICAL,cvssV3_1,CWE-502,CWE-502 Deserialization of Untrusted Data,"The Java OpenWire protocol marshaller is vulnerable to Remote Code 
Execution. This vulnerability may allow a remote attacker with network 
access to either a Java-based OpenWire broker or client to run arbitrary
 shell commands by manipulating serialized class types in the OpenWire 
protocol to cause either the client or the broker (respectively) to 
instantiate any class on the classpath.

Users are recommended to upgrade
 both brokers and clients to version 5.15.16, 5.16.7, 5.17.6, or 5.18.3 
which fixes this issue.

",Apache Software Foundation,Apache ActiveMQ,"5.18.0, 5.17.0, 5.16.0, 0",0.94436,0.99985,zip,Critique,9.4436
CERTFR-2023-ALE-009,Alerte,[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,2023-07-26,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,3,CVE-2023-35082,2023,10.0,CRITICAL,cvssV3_0,,,"An authentication bypass vulnerability in Ivanti EPMM 11.10 and older, allows unauthorized users to access restricted functionality or resources of the application without proper authentication. This vulnerability is unique to CVE-2023-35078 announced earlier.",Ivanti,EPMM,11.10,0.94423,0.99979,zip,Critique,9.4423
CERTFR-2023-AVI-0899,Avis,Vulnérabilité dans Atlassian Confluence Data Center et Server,2023-10-31,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0899/,1,CVE-2023-22518,2023,10.0,CRITICAL,cvssV3_0,,Improper Authorization,"All versions of Confluence Data Center and Server are affected by this unexploited vulnerability. This Improper Authorization vulnerability allows an unauthenticated attacker to reset Confluence and create a Confluence instance administrator account. Using this account, an attacker can then perform all administrative actions that are available to Confluence instance administrator leading to - but not limited to - full loss of confidentiality, integrity and availability. 

Atlassian Cloud sites are not affected by this vulnerability. If your Confluence site is accessed via an atlassian.net domain, it is hosted by Atlassian and is not vulnerable to this issue.",Atlassian,Confluence Data Center,>= 1.0.0,0.94375,0.99963,zip,Critique,9.4375
CERTFR-2024-AVI-0040,Avis,Multiples vulnérabilités dans Atlassian Confluence et Jira,2024-01-16,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0040/,8,CVE-2023-22527,2024,10.0,CRITICAL,cvssV3_0,,RCE (Remote Code Execution),"A template injection vulnerability on older versions of Confluence Data Center and Server allows an unauthenticated attacker to achieve RCE on an affected instance. Customers using an affected version must take immediate action.

Most recent supported versions of Confluence Data Center and Server are not affected by this vulnerability as it was ultimately mitigated during regular version updates. However, Atlassian recommends that customers take care to install the latest version to protect their instances from non-critical vulnerabilities outlined in Atlassian’s January Security Bulletin.",Atlassian,Confluence Data Center,">= 8.0.0, >= 8.1.0, >= 8.2.0, >= 8.3.0, >= 8.4.0",0.94363,0.9996,zip,Critique,9.4363
CERTFR-2023-AVI-0970,Avis,Multiples vulnérabilités dans les produits OwnCloud,2023-11-22,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0970/,3,CVE-2023-49103,2023,10.0,CRITICAL,cvssV3_1,,,"An issue was discovered in ownCloud owncloud/graphapi 0.2.x before 0.2.1 and 0.3.x before 0.3.1. The graphapi app relies on a third-party GetPhpInfo.php library that provides a URL. When this URL is accessed, it reveals the configuration details of the PHP environment (phpinfo). This information includes all the environment variables of the webserver. In containerized deployments, these environment variables may include sensitive data such as the ownCloud admin password, mail server credentials, and license key. Simply disabling the graphapi app does not eliminate the vulnerability. Additionally, phpinfo exposes various other potentially sensitive configuration details that could be exploited by an attacker to gather information about the system. Therefore, even if ownCloud is not running in a containerized environment, this vulnerability should still be a cause for concern. Note that Docker containers from before February 2023 are not vulnerable to the credential disclosure.",,,,0.94329,0.99948,zip,Critique,9.4329
CERTFR-2023-AVI-0803,Avis,Vulnérabilité dans Atlassian Confluence,2023-10-05,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0803/,1,CVE-2023-22515,2023,10.0,CRITICAL,cvssV3_0,,BASM (Broken Authentication & Session Management),"Atlassian has been made aware of an issue reported by a handful of customers where external attackers may have exploited a previously unknown vulnerability in publicly accessible Confluence Data Center and Server instances to create unauthorized Confluence administrator accounts and access Confluence instances. 

Atlassian Cloud sites are not affected by this vulnerability. If your Confluence site is accessed via an atlassian.net domain, it is hosted by Atlassian and is not vulnerable to this issue. ",Atlassian,Confluence Data Center,">= 8.0.0, >= 8.0.1, >= 8.0.2, >= 8.0.3, >= 8.1.3",0.94326,0.99947,zip,Critique,9.4326
CERTFR-2024-ALE-006,Alerte,[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect,2024-04-12,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/,1,CVE-2024-3400,2024,10.0,CRITICAL,cvssV3_1,CWE-77,CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),"A command injection as a result of arbitrary file creation vulnerability in the GlobalProtect feature of Palo Alto Networks PAN-OS software for specific PAN-OS versions and distinct feature configurations may enable an unauthenticated attacker to execute arbitrary code with root privileges on the firewall.

Cloud NGFW, Panorama appliances, and Prisma Access are not impacted by this vulnerability.",Palo Alto Networks,PAN-OS,"10.2.0, 11.0.0, 11.1.0",0.94297,0.99939,zip,Critique,9.4297
CERTFR-2024-AVI-0742,Avis,Multiples vulnérabilités dans Synacor Zimbra Collaboration,2024-09-05,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0742/,12,CVE-2024-45519,2024,10.0,CRITICAL,cvssV3_1,,,"The postjournal service in Zimbra Collaboration (ZCS) before 8.8.15 Patch 46, 9 before 9.0.0 Patch 41, 10 before 10.0.9, and 10.1 before 10.1.1 sometimes allows unauthenticated users to execute commands.",,,,0.9414,0.99907,zip,Critique,9.414
